GenTimestamp,/swerve/rotout,/swerve/txout,/swerve/tyout,/swerveMod/BL/setRotation,/swerveMod/BL/setSpeed,/swerveMod/BL/speed,/swerveMod/BR/setRotation,/swerveMod/BR/setSpeed,/swerveMod/BR/speed,/swerveMod/FL/setRotation,/swerveMod/FL/setSpeed,/swerveMod/FL/speed,/swerveMod/FR/setRotation,/swerveMod/FR/setSpeed,/swerveMod/FR/speed,NT:/LiveWindow/Ungrouped/navX-Sensor[4]/Value
5.01245,0,0.15000000596046448,-1,0.48892042889762855,1.011187421692012,-7.245735419854922,0.48892042889762855,1.011187421692012,-7.245735419854922,0.48892042889762855,1.011187421692012,-7.245735419854922,0.48892042889762855,1.011187421692012,-7.245735419854922,2.4267632852239054e-14
5.033415,0,0.05000000819563866,-1,0.45774279037434096,1.00124922013431,-3.3876951362925216,0.45774279037434096,1.00124922013431,-3.3876951362925216,0.45774279037434096,1.00124922013431,-3.3876951362925216,0.45774279037434096,1.00124922013431,-3.3876951362925216,2.7829853628839538e-14
5.052382,0,0.05000000819563866,-1,0.4592232505412721,1.00124922013431,-0.07402341132087509,0.4592232505412721,1.00124922013431,-0.07402341132087509,0.4592232505412721,1.00124922013431,-0.07402341132087509,0.4592232505412721,1.00124922013431,-0.07402341132087509,2.8084297243997046e-14
5.073372,0,-0,-1,0.350099130472864,1,2.958287303262936,0.350099130472864,1,2.958287303262936,0.350099130472864,1,2.958287303262936,0.350099130472864,1,2.958287303262936,2.810815138585762e-14
5.093376,0,-0,-1,0.24999539454909692,1,5.005185294480894,0.24999539454909692,1,5.005185294480894,0.24999539454909692,1,5.005185294480894,0.24999539454909692,1,5.005185294480894,2.7344818846319202e-14
5.112404,0,-0,-1,0.1257418831202639,1,6.212676968382956,0.1257418831202639,1,6.212676968382956,0.1257418831202639,1,6.212676968382956,0.1257418831202639,1,6.212676968382956,2.632704099755738e-14
5.132057,0,-0,-0.949999988079071,-0.004165844121252205,0.949999988079071,6.495384505050333,-0.004165844121252205,0.949999988079071,6.495384505050333,-0.004165844121252205,0.949999988079071,6.495384505050333,-0.004165844121252205,0.949999988079071,6.495384505050333,2.429148699409963e-14
5.153086,0,-0,-0.949999988079071,-0.12211175362137427,0.949999988079071,5.897297435406068,-0.12211175362137427,0.949999988079071,5.897297435406068,-0.12211175362137427,0.949999988079071,5.897297435406068,-0.12211175362137427,0.949999988079071,5.897297435406068,2.3273709145337808e-14
5.17305,0,-0,-0.8499999642372131,-0.2136040488865718,0.8499999642372131,4.574612172476776,-0.2136040488865718,0.8499999642372131,4.574612172476776,-0.2136040488865718,0.8499999642372131,4.574612172476776,-0.2136040488865718,0.8499999642372131,4.574612172476776,2.1238153447814163e-14
5.193012,0,-0,-0.8499999642372131,-0.26890976826218216,0.8499999642372131,2.765288810225324,-0.26890976826218216,0.8499999642372131,2.765288810225324,-0.26890976826218216,0.8499999642372131,2.765288810225324,-0.26890976826218216,0.8499999642372131,2.765288810225324,2.0729264523433252e-14
